id,เพศ,ช่วงอายุ/ช่วงวัย,เทศกาล/โอกาสสำคัญ,ความสัมพันธ์,ราคา,คลาสของขวัญ
72,0,9,24,26,501-1000,เสื้อผ้าแฟชั่น
73,0,9,18,26,501-1000,เสื้อผ้าแฟชั่น
74,0,9,19,39,501-1000,เสื้อผ้าแฟชั่น
75,0,9,19,35.04,1001-5000,เสื้อผ้าแฟชั่น
76,0,9,19,38,1001-5000,เสื้อผ้าแฟชั่น
77,0,9,19,34.22,1001-5000,เสื้อผ้าแฟชั่น
78,0,9,19,34.33,1001-5000,เสื้อผ้าแฟชั่น
79,0,9,19,26,1001-5000,เสื้อผ้าแฟชั่น
80,0,9,14,39,50001-10000,เสื้อผ้าแฟชั่น
81,0,9,14,26,50001-10000,เสื้อผ้าแฟชั่น
82,0,9,25,39,50001-10000,เสื้อผ้าแฟชั่น
83,0,9,25,35.04,50001-10000,เสื้อผ้าแฟชั่น
84,0,9,25,38,10001-25000,เสื้อผ้าแฟชั่น
85,0,9,25,34.22,10001-25000,เสื้อผ้าแฟชั่น
86,0,9,25,34.33,10001-25000,เสื้อผ้าแฟชั่น
87,0,9,25,26,10001-25000,เสื้อผ้าแฟชั่น
88,1,9,13,39,10001-25000,เสื้อผ้าแฟชั่น
89,1,9,13,35.04,10001-25000,เสื้อผ้าแฟชั่น
90,1,9,13,38,10001-25000,เสื้อผ้าแฟชั่น
91,1,9,13,34.22,10001-25000,เสื้อผ้าแฟชั่น
92,1,9,13,34.33,50001-10000,เสื้อผ้าแฟชั่น
93,1,9,13,26,50001-10000,เสื้อผ้าแฟชั่น
94,1,9,24,39,50001-10000,เสื้อผ้าแฟชั่น
95,1,9,24,35.04,50001-10000,เสื้อผ้าแฟชั่น
96,1,9,24,38,50001-10000,เสื้อผ้าแฟชั่น
97,1,9,24,34.22,1001-5000,เสื้อผ้าแฟชั่น
98,1,9,24,34.33,1001-5000,เสื้อผ้าแฟชั่น
99,1,9,24,26,1001-5000,เสื้อผ้าแฟชั่น
100,1,9,18,26,1001-5000,เสื้อผ้าแฟชั่น
101,1,9,19,39,1001-5000,เสื้อผ้าแฟชั่น
102,1,9,19,35.04,501-1000,เสื้อผ้าแฟชั่น
103,1,9,19,38,501-1000,เสื้อผ้าแฟชั่น
104,1,9,19,34.22,501-1000,เสื้อผ้าแฟชั่น
105,1,9,19,34.33,501-1000,เสื้อผ้าแฟชั่น
106,1,9,19,26,501-1000,เสื้อผ้าแฟชั่น
107,1,9,14,39,101-500,เสื้อผ้าแฟชั่น
108,1,9,14,26,101-500,เสื้อผ้าแฟชั่น
109,1,9,25,39,101-500,เสื้อผ้าแฟชั่น
110,1,9,25,35.04,101-500,เสื้อผ้าแฟชั่น
111,1,9,25,38,1-100,เสื้อผ้าแฟชั่น
112,1,9,25,34.22,1-100,เสื้อผ้าแฟชั่น
113,1,9,25,34.33,1-100,เสื้อผ้าแฟชั่น
114,1,9,25,26,1-100,เสื้อผ้าแฟชั่น
115,0,7,13,38,1-100,รองเท้า
116,0,7,13,38.02,1-100,รองเท้า
117,0,7,13,34.32,1-100,รองเท้า
118,0,7,13,38.03,1-100,รองเท้า
119,0,7,24,38,1-100,รองเท้า
120,0,7,24,38.02,501-1000,รองเท้า
121,0,7,24,34.32,501-1000,รองเท้า
122,0,7,24,38.03,501-1000,รองเท้า
123,0,7,25,38,501-1000,รองเท้า
124,0,7,25,38.02,1001-2500,รองเท้า
125,0,7,25,34.32,1001-2500,รองเท้า
126,0,7,25,38.03,1001-2500,รองเท้า
127,0,8,13,38,1001-2500,รองเท้า
128,0,8,13,38.02,1001-2500,รองเท้า
129,0,8,13,34.32,2501-5000,รองเท้า
130,0,8,13,38.03,2501-5000,รองเท้า
131,0,8,24,38,2501-5000,รองเท้า
132,0,8,24,38.02,2501-5000,รองเท้า
133,0,8,24,34.32,2501-5000,รองเท้า
134,0,8,24,38.03,5001-10000,รองเท้า
135,0,8,25,38,5001-10000,รองเท้า
136,0,8,25,38,5001-10000,รองเท้า
137,0,8,25,38.02,5001-10000,รองเท้า
138,0,8,25,34.32,5001-10000,รองเท้า
139,0,9,13,38.03,10001-25000,รองเท้า
140,0,9,13,35.04,10001-25000,รองเท้า
141,0,9,13,38,10001-25000,รองเท้า
142,0,9,13,34.22,10001-25000,รองเท้า
143,0,9,13,34.33,10001-25000,รองเท้า
144,0,9,13,26,25001-50000,รองเท้า
145,0,9,24,39,25001-50000,รองเท้า
146,0,9,24,35.04,25001-50000,รองเท้า
147,0,9,24,39,25001-50000,รองเท้า
148,0,9,24,34.22,25001-50000,รองเท้า
149,0,9,24,34.33,1-100,รองเท้า
150,0,9,24,26,1-100,รองเท้า
151,0,9,18,26,1-100,รองเท้า
152,0,9,14,26,1-100,รองเท้า
153,0,9,14,26,1-100,รองเท้า
154,0,9,25,39,501-1000,รองเท้า
155,0,9,25,35.04,501-1000,รองเท้า
156,0,9,25,39,501-1000,รองเท้า
157,0,9,25,34.22,501-1000,รองเท้า
158,0,9,25,34.33,1001-2500,รองเท้า
159,0,9,25,26,1001-2500,รองเท้า
160,0,9,13,39,1001-2500,รองเท้า
161,0,9,13,35.04,1001-2500,รองเท้า
162,0,9,13,39,1001-2500,รองเท้า
163,0,9,13,34.22,2501-5000,รองเท้า
164,0,9,13,34.33,2501-5000,รองเท้า
165,0,9,13,26,2501-5000,รองเท้า
166,0,9,24,39,2501-5000,รองเท้า
167,0,9,24,35.04,2501-5000,รองเท้า
168,0,9,24,39,5001-10000,รองเท้า
169,0,9,24,34.32,5001-10000,รองเท้า
170,0,9,24,34.33,5001-10000,รองเท้า
171,0,9,24,26,5001-10000,รองเท้า
172,0,9,18,26,5001-10000,รองเท้า
173,0,9,19,39,10001-25000,รองเท้า
174,0,9,19,35.04,10001-25000,รองเท้า
175,0,9,19,39,10001-25000,รองเท้า
176,0,9,19,34.22,10001-25000,รองเท้า
177,0,9,19,34.33,10001-25000,รองเท้า
178,0,9,19,26,25001-50000,รองเท้า
179,0,9,14,39,25001-50000,รองเท้า
180,0,9,14,26,25001-50000,รองเท้า
181,0,9,25,39,25001-50000,รองเท้า
182,0,9,25,35.04,25001-50000,รองเท้า
183,0,9,25,39,1-100,รองเท้า
184,0,9,25,34.22,1-100,รองเท้า
185,0,9,25,34.33,1-100,รองเท้า
186,0,9,25,26,1-100,รองเท้า
187,0,10,13,39,1-100,รองเท้า
188,0,10,13,35.04,501-1000,รองเท้า
189,0,10,13,39,501-1000,รองเท้า
190,0,10,13,34.22,501-1000,รองเท้า
191,0,10,13,34.33,501-1000,รองเท้า
192,0,10,13,35.01,1001-2500,รองเท้า
193,0,10,13,35.02,1001-2500,รองเท้า
194,0,10,13,26,1001-2500,รองเท้า
195,0,10,24,38,1001-2500,รองเท้า
196,0,10,24,35.04,1001-2500,รองเท้า
197,0,10,24,38,2501-5000,รองเท้า
198,0,10,24,34.22,2501-5000,รองเท้า
199,0,10,24,34.33,2501-5000,รองเท้า
200,0,10,24,38,2501-5000,รองเท้า
201,0,10,24,34.32,2501-5000,รองเท้า
202,0,10,24,26,5001-10000,รองเท้า
203,0,10,18,26,5001-10000,รองเท้า
204,0,10,19,39,5001-10000,รองเท้า
205,0,10,19,35.04,5001-10000,รองเท้า
206,0,10,19,39,5001-10000,รองเท้า
207,0,10,19,34.32,10001-25000,รองเท้า
208,0,10,19,34.33,10001-25000,รองเท้า
209,0,10,19,26,10001-25000,รองเท้า
210,0,10,14,39,10001-25000,รองเท้า
211,0,10,14,26,10001-25000,รองเท้า
212,0,10,25,39,25001-50000,รองเท้า
213,0,10,25,35.04,25001-50000,รองเท้า
214,0,10,25,39,25001-50000,รองเท้า
215,0,10,25,34.32,25001-50000,รองเท้า
216,0,10,25,34.33,25001-50000,รองเท้า
217,0,10,25,26,1-100,รองเท้า
218,0,10,13,39,1-100,รองเท้า
219,0,10,13,35.04,1-100,รองเท้า
220,0,10,13,39,1-100,รองเท้า
221,0,10,13,34.32,1-100,รองเท้า
222,0,10,13,34.33,501-1000,รองเท้า
223,0,10,13,26,501-1000,รองเท้า
224,0,10,24,39,501-1000,รองเท้า
225,0,10,24,35.04,501-1000,รองเท้า
226,0,10,24,39,1001-2500,รองเท้า
227,0,10,24,34.32,1001-2500,รองเท้า
228,0,10,24,34.33,1001-2500,รองเท้า
229,0,10,24,26,1001-2500,รองเท้า
230,0,10,24,35.01,1001-2500,รองเท้า
231,0,10,24,35.02,2501-5000,รองเท้า
232,0,10,18,26,2501-5000,รองเท้า
233,0,10,19,39,2501-5000,รองเท้า
234,0,10,19,35.04,2501-5000,รองเท้า
235,0,10,19,39,2501-5000,รองเท้า
236,0,10,19,34.32,5001-10000,รองเท้า
237,0,10,19,34.33,5001-10000,รองเท้า
238,0,10,19,28,5001-10000,รองเท้า
239,0,10,14,,5001-10000,รองเท้า
240,0,10,14,26,5001-10000,รองเท้า
241,0,10,25,39,10001-25000,รองเท้า
242,0,10,25,35.04,10001-25000,รองเท้า
243,0,10,25,39,10001-25000,รองเท้า
244,0,10,25,34.22,10001-25000,รองเท้า
245,0,10,25,34.33,10001-25000,รองเท้า
246,0,10,25,26,25001-50000,รองเท้า
247,0,10,25,35.01,25001-50000,รองเท้า
248,0,10,25,35.02,25001-50000,รองเท้า
249,0,11,13,28,25001-50000,รองเท้า
250,0,11,13,35.04,25001-50000,รองเท้า
251,0,11,13,34.22,1-100,รองเท้า
252,0,11,13,34.33,1-100,รองเท้า
253,0,11,13,26,1-100,รองเท้า
254,0,11,13,34.04,1-100,รองเท้า
255,0,11,13,35.01,1-100,รองเท้า
256,0,11,13,35.02,501-1000,รองเท้า
257,0,11,24,39,501-1000,รองเท้า
258,0,11,24,38,501-1000,รองเท้า
259,0,11,24,34.32,501-1000,รองเท้า
260,0,11,24,34.31,1001-2500,รองเท้า
261,0,11,24,26,1001-2500,รองเท้า
262,0,11,24,35.01,1001-2500,รองเท้า
263,0,11,24,35.03,1001-2500,รองเท้า
264,0,11,18,26,1001-2500,รองเท้า
265,0,11,19,39,2501-5000,รองเท้า
266,0,11,19,35.04,2501-5000,รองเท้า
267,0,11,19,38,2501-5000,รองเท้า
268,0,11,19,34.22,2501-5000,รองเท้า
269,0,11,19,34.33,2501-5000,รองเท้า
270,0,11,19,26,5001-10000,รองเท้า
271,0,11,14,39,5001-10000,รองเท้า
272,0,11,14,26,5001-10000,รองเท้า
273,0,11,25,39,5001-10000,รองเท้า
274,0,11,25,35.04,5001-10000,รองเท้า
275,0,11,25,39,10001-25000,รองเท้า
276,0,11,25,34.22,10001-25000,รองเท้า
277,0,11,25,34.33,10001-25000,รองเท้า
278,0,11,25,26,10001-25000,รองเท้า
279,0,11,25,35.01,10001-25000,รองเท้า
280,0,11,25,35.03,25001-50000,รองเท้า
281,0,11,15,38,25001-50000,รองเท้า
282,1,7,13,38.02,25001-50000,รองเท้า
283,1,7,13,34.32,25001-50000,รองเท้า
284,1,7,13,38.03,25001-50000,รองเท้า
285,1,7,13,38,1-100,รองเท้า
286,1,7,24,38.02,1-100,รองเท้า
287,1,7,24,34.32,1-100,รองเท้า
288,1,7,24,38.03,1-100,รองเท้า
289,1,7,24,38,1-100,รองเท้า
290,1,7,25,38.02,501-1000,รองเท้า
291,1,7,25,34.32,501-1000,รองเท้า
292,1,7,25,38.03,501-1000,รองเท้า
293,1,7,25,38,501-1000,รองเท้า
294,1,8,13,38.02,1001-2500,รองเท้า
295,1,8,13,34.32,1001-2500,รองเท้า
296,1,8,13,38.03,1001-2500,รองเท้า
297,1,8,13,38,1001-2500,รองเท้า
298,1,8,24,38.02,1001-2500,รองเท้า
299,1,8,24,34.32,2501-5000,รองเท้า
300,1,8,24,38.03,2501-5000,รองเท้า
301,1,8,24,38,2501-5000,รองเท้า
302,1,8,25,38.02,2501-5000,รองเท้า
303,1,8,25,34.32,2501-5000,รองเท้า
304,1,8,25,38.03,5001-10000,รองเท้า
305,1,8,25,38.03,5001-10000,รองเท้า
306,1,9,13,39,5001-10000,รองเท้า
307,1,9,13,35.04,5001-10000,รองเท้า
308,1,9,13,38,5001-10000,รองเท้า
309,1,9,13,34.22,10001-25000,รองเท้า
310,1,9,13,34.33,10001-25000,รองเท้า
311,1,9,13,26,10001-25000,รองเท้า
312,1,9,24,39,10001-25000,รองเท้า
313,1,9,24,35.04,10001-25000,รองเท้า
314,1,9,24,39,25001-50000,รองเท้า
315,1,9,24,34.22,25001-50000,รองเท้า
316,1,9,24,34.33,25001-50000,รองเท้า
317,1,9,24,26,25001-50000,รองเท้า
318,1,9,18,26,25001-50000,รองเท้า
319,1,9,14,26,1-100,รองเท้า
320,1,9,14,26,1-100,รองเท้า
321,1,9,25,39,1-100,รองเท้า
322,1,9,25,35.04,1-100,รองเท้า
323,1,9,25,39,1-100,รองเท้า
324,1,9,25,34.22,501-1000,รองเท้า
325,1,9,25,34.33,501-1000,รองเท้า
326,1,9,25,26,501-1000,รองเท้า
327,1,9,13,39,501-1000,รองเท้า
328,1,9,13,39,1001-2500,รองเท้า
329,1,9,13,35.04,1001-2500,รองเท้า
330,1,9,13,39,1001-2500,รองเท้า
331,1,9,13,34.33,1001-2500,รองเท้า
332,1,9,13,26,1001-2500,รองเท้า
333,1,9,24,39,2501-5000,รองเท้า
334,1,9,24,35.04,2501-5000,รองเท้า
335,1,9,24,39,2501-5000,รองเท้า
336,1,9,24,34.22,2501-5000,รองเท้า
337,1,9,24,34.33,2501-5000,รองเท้า
338,1,9,24,26,5001-10000,รองเท้า
339,1,9,18,26,5001-10000,รองเท้า
340,1,9,18,39,5001-10000,รองเท้า
341,1,9,18,35.04,5001-10000,รองเท้า
342,1,9,18,39,5001-10000,รองเท้า
343,1,9,18,34.22,10001-25000,รองเท้า
344,1,9,18,34.33,10001-25000,รองเท้า
345,1,9,18,26,10001-25000,รองเท้า
346,1,9,14,39,10001-25000,รองเท้า
347,1,9,14,26,10001-25000,รองเท้า
348,1,9,25,39,25001-50000,รองเท้า
349,1,9,25,35.04,25001-50000,รองเท้า
350,1,9,25,39,25001-50000,รองเท้า
351,1,9,25,34.22,25001-50000,รองเท้า
352,1,9,25,34.33,25001-50000,รองเท้า
353,1,9,25,26,1-100,รองเท้า
354,1,10,13,39,1-100,รองเท้า
355,1,10,13,35.04,1-100,รองเท้า
356,1,10,13,39,1-100,รองเท้า
357,1,10,13,34.22,1-100,รองเท้า
358,1,10,13,34.33,501-1000,รองเท้า
359,1,10,13,35.01,501-1000,รองเท้า
360,1,10,13,35.03,501-1000,รองเท้า
361,1,10,13,6,501-1000,รองเท้า
362,1,10,24,39,1001-2500,รองเท้า
363,1,10,24,35.04,1001-2500,รองเท้า
364,1,10,24,39,1001-2500,รองเท้า
365,1,10,24,34.32,1001-2500,รองเท้า
366,1,10,24,34.33,1001-2500,รองเท้า
367,1,10,24,38,2501-5000,รองเท้า
368,1,10,24,34.32,2501-5000,รองเท้า
369,1,10,24,26,2501-5000,รองเท้า
370,1,10,18,26,2501-5000,รองเท้า
371,1,10,19,39,2501-5000,รองเท้า
372,1,10,19,35.04,5001-10000,รองเท้า
373,1,10,19,38,5001-10000,รองเท้า
374,1,10,19,34.22,5001-10000,รองเท้า
375,1,10,19,34.33,5001-10000,รองเท้า
376,1,10,19,26,5001-10000,รองเท้า
377,1,10,14,39,10001-25000,รองเท้า
378,1,10,14,26,10001-25000,รองเท้า
379,1,10,25,39,10001-25000,รองเท้า
380,1,10,25,35.04,10001-25000,รองเท้า
381,1,10,25,39,10001-25000,รองเท้า
382,1,10,25,34.22,25001-50000,รองเท้า
383,1,10,25,34.33,25001-50000,รองเท้า
384,1,10,25,26,25001-50000,รองเท้า
385,1,10,13,39,25001-50000,รองเท้า
386,1,10,13,35.04,25001-50000,รองเท้า
387,1,10,13,28,1-100,รองเท้า
388,1,10,13,34.32,1-100,รองเท้า
389,1,10,13,34.33,1-100,รองเท้า
390,1,10,13,26,1-100,รองเท้า
391,1,10,24,39,501-1000,รองเท้า
392,1,10,24,35.04,501-1000,รองเท้า
393,1,10,24,39,501-1000,รองเท้า
394,1,10,24,34.22,501-1000,รองเท้า
395,1,10,24,34.33,1001-2500,รองเท้า
396,1,10,24,26,1001-2500,รองเท้า
397,1,10,24,35.01,1001-2500,รองเท้า
398,1,10,24,35.03,1001-2500,รองเท้า
399,1,10,18,26,1001-2500,รองเท้า
400,1,10,19,39,2501-5000,รองเท้า
401,1,10,19,34.04,2501-5000,รองเท้า
402,1,10,19,38,2501-5000,รองเท้า
403,1,10,19,34.22,2501-5000,รองเท้า
404,1,10,19,34.33,2501-5000,รองเท้า
405,1,10,19,26,5001-10000,รองเท้า
406,1,10,14,39,5001-10000,รองเท้า
407,1,10,14,26,5001-10000,รองเท้า
408,1,10,25,26,5001-10000,รองเท้า
409,1,10,25,34.04,5001-10000,รองเท้า
410,1,10,25,38,10001-25000,รองเท้า
411,1,10,25,34.22,10001-25000,รองเท้า
412,1,10,25,34.33,10001-25000,รองเท้า
413,1,10,25,26,10001-25000,รองเท้า
414,1,10,25,35.01,25001-50000,รองเท้า
415,1,10,25,35.03,25001-50000,รองเท้า
416,1,11,13,39,25001-50000,รองเท้า
417,1,11,13,35.04,25001-50000,รองเท้า
418,1,11,13,34.22,25001-50000,รองเท้า
419,1,11,13,34.33,25001-50000,รองเท้า
420,1,11,13,26,25001-50000,รองเท้า
421,1,11,13,34.04,1-100,รองเท้า
422,1,11,13,35.01,1-100,รองเท้า
423,1,11,13,35.03,1-100,รองเท้า
424,1,11,24,39,1-100,รองเท้า
425,1,11,24,35.04,501-1000,รองเท้า
426,1,11,24,34.22,501-1000,รองเท้า
427,1,11,24,34.33,501-1000,รองเท้า
428,1,11,24,26,501-1000,รองเท้า
429,1,11,24,35.01,1001-2500,รองเท้า
430,1,11,24,35.03,1001-2500,รองเท้า
431,1,11,18,26,1001-2500,รองเท้า
432,1,11,19,39,1001-2500,รองเท้า
433,1,11,19,35.04,1001-2500,รองเท้า
434,1,11,19,38,2501-5000,รองเท้า
435,1,11,19,34.22,2501-5000,รองเท้า
436,1,11,19,34.33,2501-5000,รองเท้า
437,1,11,19,26,2501-5000,รองเท้า
438,1,11,14,39,2501-5000,รองเท้า
439,1,11,14,26,5001-10000,รองเท้า
440,1,11,25,39,5001-10000,รองเท้า
441,1,11,25,35.04,5001-10000,รองเท้า
442,1,11,25,38,5001-10000,รองเท้า
443,1,11,25,34.22,5001-10000,รองเท้า
444,1,11,25,34.33,10001-25000,รองเท้า
445,1,11,25,26,10001-25000,รองเท้า
446,1,11,25,35.01,10001-25000,รองเท้า
447,1,11,25,35.03,10001-25000,รองเท้า
448,1,11,16,34.04,25001-50000,รองเท้า
